gid,id,nm_bai,nome
5,400022492,Anhangüera,Conjunto Anhanguera
6,400008592,Lageado,Jd. Lageado
24,400007192,Helou,Chácara Helou
207,400046274,,Gleba
14,400046191,Jardins Munique,Res. Jardins Munique
16,400046326,,Gleba
17,400046250,,Gleba
19,400046350,,Gleba
98,400046045,Village Santa Rita III,Res. Village Santa Rita III
20,400046345,,Gleba
21,400046450,Campos Verdes quinhão III,Res. Campos Verdes quinhão III
22,400009392,,Gleba
100,400046515,Real Extensão,Jd. Real Extensão
30,400046630,Condomínio: Alto Boa Vista,Gleba
31,400030392,São Francisco,Vila São Francisco
32,400046474,,Gleba
33,400046473,,Gleba
34,400046472,,Gleba
46,400046066,Carla Cristina,Res. Carla Cristina
262,400046021,das Paineiras I,Parque das Paineiras I
38,400046467,,Gleba
39,400046466,,Gleba
40,400046460,Della Penna Extensão,Res. Della Penna Extensão
45,400046568,,Gleba
47,400046200,Condomínio: Res.. Bosque dos Buritis,Gleba
48,400009092,Dom Fernando I,Jd. Dom Fernando I
49,400009492,Aroeiras,Jd. Aroeiras
50,400000192,Estrela Dalva,Setor Estrela Dalva
51,400046446,Alice Barbosa I,Res. Alice Barbosa I
52,400046140,Alice Barbosa,Res. Alice Barbosa
101,400045392,,Gleba
103,400046337,,Gleba
55,400045928,Primavera,Conjunto Primavera
56,400046545,Gleba 8,Gleba
57,400046544,Gleba 7,Gleba
58,400046341,,Gleba
59,400046204,Gramado,Jd. Gramado
66,400013692,,Gleba
67,400046238,,Gleba
68,400046271,,Gleba
69,400026792,das Oliveiras,Cond. das Oliveiras
70,400046221,Jardim das Oliveiras II,Cond. Jardim das Oliveiras II
60,400022692,Redenção,Vila Redenção
62,400046320,Corte Real,Jd. Corte Real
63,400018592,,Gleba
64,400045925,Abaporu,Jd. Abaporu
65,400046169,Lorena Parque Extensão,Lorena Parque Extensão
174,400046387,,Gleba
71,400046352,,Gleba
72,400046351,,Gleba
75,400046342,,Gleba
76,400046340,,Gleba
77,400046339,,Gleba
78,400046331,,Gleba
79,400046330,,Gleba
80,400046327,,Gleba
81,400046483,,Gleba
83,400045966,Parque dos Eucaliptos,Conjunto Parque dos Eucaliptos
84,400046279,,Gleba
85,400046061,14 Bis - Extensão,Res. 14 Bis - Extensão
86,400030992,Urias Magalhães II,Setor Urias Magalhães II
87,400046118,José Viandeli,Res. José Viandeli
88,400046529,,Gleba
89,400046058,Industrial João Braz 2,Parque Industrial João Braz 2
90,400029892,Ofugi,Vila Ofugi
91,400046130,,Gleba
92,400045975,Goiá 2 Complemento,Goiá 2 Complemento
104,400046336,,Gleba
127,400046357,,Gleba
128,400046574,,Gleba
129,400046550,,Gleba
131,400046527,,Gleba
132,400046525,,Gleba
133,400046524,,Gleba
134,400046523,,Gleba
135,400046272,,Gleba
136,400045901,,Gleba
169,400046313,,Gleba
170,400046310,,Gleba
176,400046297,,Gleba
137,400046521,,Gleba
138,400046508,,Gleba
139,400046507,,Gleba
140,400046506,,Gleba
141,400046504,,Gleba
142,400046503,,Gleba
143,400046502,,Gleba
144,400006492,Granja Agrícola Jacirema,Granja Agrícola Jacirema
145,400045924,,Gleba
146,400046278,,Gleba
147,400046280,,Gleba
149,400046258,,Gleba
150,400046101,,Gleba
151,400046257,São Joaquim,Cond. São Joaquim
152,400046113,Coimbra,Chácara Coimbra
153,400045981,Cidade Pompeu,Chácara Cidade Pompeu
171,400046303,,Gleba
219,400046580,,Gleba
154,400022792,,Gleba
155,400045905,,Gleba
156,400046512,,Gleba
157,400046441,Escocia,Res. Escocia
158,400046511,,Gleba
160,400046486,,Gleba
161,400046484,,Gleba
172,400046302,,Gleba
618,400046538,Gleba 1,Gleba
162,400046535,,Gleba
163,400046413,,Gleba
164,400046196,,Gleba
165,400046411,,Gleba
166,400046323,,Gleba
167,400046321,,Gleba
168,400046314,,Gleba
173,400046282,,Gleba
180,400046213,,Gleba
181,400035292,Maria Dilce,Chácara Maria Dilce
182,400046001,,Gleba
183,400046228,,Gleba
217,400046147,,Gleba
220,400046404,,Gleba
184,400045984,Granjas Brasil,Granjas Brasil
185,400046241,,Gleba
187,400046229,,Gleba
188,400046208,,Gleba
190,400046209,,Gleba
227,400046414,,Gleba
208,400046273,,Gleba
209,400046477,,Gleba
210,400046476,,Gleba
211,400046475,,Gleba
191,400045898,,Gleba
192,400035392,Maria Dilce,Chácara Maria Dilce
202,400046399,,Gleba
203,400046396,,Gleba
204,400046375,,Gleba
205,400046491,,Gleba
193,400046344,,Gleba
195,400046388,,Gleba
196,400046456,,Gleba
197,400046451,Campos Verdes quinhão I,Res. Campos Verdes quinhão I
198,400037492,Maringá,Chácara Maringá
231,400046554,,Gleba
199,400046449,Portal Petropolis,Res. Portal Petrópolis
200,400046437,Ouro Preto,Res. Ouro Preto
201,400046572,,Gleba
212,400045986,Mansões Rosa de Ouro,Chácara Mansões Rosa de Ouro
213,400046112,,Gleba
214,400046098,Garavelo,Garavelo
215,400046187,Quinta da Boa Vista Fechad,Quinta da Boa Vista Fechad
221,400046560,,Gleba
232,400046371,,Gleba
222,400046556,,Gleba
223,400046372,,Gleba
224,400046539,,Gleba
225,400046531,,Gleba
242,400045900,,Gleba
226,400046205,Gramado II,Jd. Gramado II
229,400046319,,Gleba
230,400046377,,Gleba
233,400046370,,Gleba
235,400012292,São Francisco de Assis,Chácara São Francisco de Assis
236,400033092,Autodromo,Gleba
239,400009792,Retiro,Fazenda Retiro
240,400046080,,Gleba
241,400009892,São Silvestre,Chácara São Silvestre
256,400010992,Santa Isabel,Vila Santa Isabel
244,400022592,Alto da Glória,Chácara Alto da Gloria
246,400008992,Concórdia,Vila Concórdia
247,400029392,Alphaville Residencial,Alphaville Residencial
248,400016092,Santana,Vila Santana
237,400006192,Ipê,Sir Ipê
238,400046079,,Gleba
249,400046077,Vila Pedroso Extensão,Vila Pedroso Extensão
250,400046120,das Flores Complemento,Parque das Flores Complemento
251,400046216,Real Conquista,Res. Real Conquista
252,400046020,das Paineiras II Etapa,Parque das Paineiras II Etapa
253,400026592,Solange Parque II,Solange Parque II
254,400046268,Real,Res. Real
258,400046160,Novo Mundo II,Jd. Novo Mundo II
259,400046150,Eldorado Oeste Extensão,Parque Eldorado Oeste Extensão
260,400046053,Luana Park - Continuação,Res. Luana Park – Continuação
261,400046265,Aquários II,Res. Aquários II
463,400011592,Habitacional Aruanã I,Conjunto Habitacional Aruanã I
264,400017092,Castelo Branco,Conjunto Castelo Branco
