,tipo,ordem_dia,data,cd_geocmu,municipios,confirmados,li_80,ls_80,li_95,ls_95
311,Prev,9,2020-04-07,5211503,ITUMBIARA,2,2,2,2,2
312,Prev,10,2020-04-08,5211503,ITUMBIARA,2,2,2,2,2
313,Prev,11,2020-04-09,5211503,ITUMBIARA,2,2,2,2,2
314,Prev,12,2020-04-10,5211503,ITUMBIARA,2,2,2,2,2
315,Prev,7,2020-04-06,5216304,PARANAIGUARA,1,1,1,1,1
316,Prev,8,2020-04-07,5216304,PARANAIGUARA,1,1,1,1,1
317,Prev,9,2020-04-08,5216304,PARANAIGUARA,1,1,1,1,1
318,Prev,10,2020-04-09,5216304,PARANAIGUARA,1,1,1,1,1
319,Prev,11,2020-04-10,5216304,PARANAIGUARA,1,1,1,1,1
320,Prev,2,2020-04-02,5204508,CALDAS NOVAS,NA,NA,NA,NA,NA
